연번,특구 구분,기술명,발명의 명칭,출원번호,등록번호,기술보유기관,12대국가전략기술(대분류),12대국가전략기술(소분류),기술성숙도
221,광주,"BIPV형 태양전지, 태양광 패널 및 태양광 패널 어레이",집광 효율이 향상된 건물 일체형 태양광 모듈,10-2019-0142342,10-2319732,한국광기술원,Ⅱ. 혁신선도,1. 첨단 모빌리티,5
222,나주,v2x-ess 연계 시스템 기술,건물 및 계통의 충방전 우선순위를 고려하는 Ｖ２Ｘ­ＥＳＳ 연계 시스템 및 방법,10-2017-0127172,10-2433167,한국전력공사,Ⅱ. 혁신선도,1. 첨단 모빌리티,4
223,청주,강인한 적응적 공분산과 이차원 선분 특징을 이용한 다중 이차원 라이다의 자동 캘리브레이션 시스템,강인한 적응적 공분산과 이차원 선분 특징을 이용한 다중 이차원 라이다의 자동 캘리브레이션 시스템,10-2020-0188129,10-2364007,충북대학교 산학협력단,Ⅱ. 혁신선도,1. 첨단 모빌리티,4
224,안산,객체 인식 장치 및 객체 인식 방법,객체 인식 장치 및 객체 인식 방법,10-2019-0021695,10-2168038,한양대학교 에리카산학협력단,Ⅱ. 혁신선도,1. 첨단 모빌리티,5
225,천안아산,객체 추적 장치,객체 추적 시스템 및 방법,10-2017-0180103,10-2198809,한국자동차연구원,Ⅱ. 혁신선도,1. 첨단 모빌리티,5
226,천안아산,객체 추적 장치,엣지 컴퓨팅 기반 도로 사용 객체 추적 시스템 및 방법,10-2021-0014702,10-2302132,한국자동차연구원,Ⅱ. 혁신선도,1. 첨단 모빌리티,5
227,광주,"광학 모듈의 자외선 흡수 및 근적외선 투과를 위한 광학 코팅 구조 및 그의 코팅 방법, 광학 모듈의 자외선 흡수 및 근적외선 투과를 위한 광학 코팅 장치","광학 모듈의 자외선 흡수 및 근적외선 투과를 위한 광학 코팅 구조 및 그의 코팅 방법, 광학 모듈의 자외선 흡수 및 근적외선 투과를 위한 광학 코팅 장치",10-2021-0105916,,한국광기술원,Ⅱ. 혁신선도,1. 첨단 모빌리티,5
228,진주,구동 드라이버의 손상을 방지하는 모터 구동법,모터 구동방법,10-2016-0027170,10-1725484,서강대학교 산학협력단,Ⅱ. 혁신선도,1. 첨단 모빌리티,4
229,진주,구동모터의 소비에너치 추정 기술,구동장치의 에너지 소비 추정 장치 및 방법,10-2017-0013963,10-1873214,경상국립대학교 산학협력단,Ⅱ. 혁신선도,1. 첨단 모빌리티,4
230,천안아산,네트워크 공격 신호 차단 방법,차량 네트워크 공격 신호 차단 장치 및 방법,10-2017-0118042,10-2081690,한국자동차연구원,Ⅱ. 혁신선도,1. 첨단 모빌리티,5
231,광주,도로 결빙 현상 알림을 제공하는 차량 제어 시스템 및 그것의 제어방법,도로 결빙 현상 알림을 제공하는 차량 제어 시스템 및 그것의 제어방법,10-2020-0128874,10-2281891,전남대학교 산학협력단,Ⅱ. 혁신선도,1. 첨단 모빌리티,3
232,천안아산,동력전달장치,동력전달 장치,10-2017-0044785,10-2309645,한국자동차연구원,Ⅱ. 혁신선도,1. 첨단 모빌리티,5
233,울주,드론 충전 스테이션 및 그 작동 방법,드론 충전 스테이션 및 그 작동 방법,10-2021-0008249, ,울산과학기술원,Ⅱ. 혁신선도,1. 첨단 모빌리티,4
234,안산,라이다 센서 장치 및 제어 방법,라이다 센서 장치 및 제어 방법,10-2020-0032989,10-2387976,한양대학교 에리카산학협력단,Ⅱ. 혁신선도,1. 첨단 모빌리티,5
235,군산,로컬 디밍 방식의 엘이디 전조등 시스템 및 이의 제어방법,로컬 디밍 방식의 엘이디 전조등 시스템 및 이의 제어방법,10-2014-0105102,10-1595304,재단법인 자동차융합기술원,Ⅱ. 혁신선도,1. 첨단 모빌리티,6
236,군산,무선 애드혹 네트워크에서의 비율 기반 스케쥴링 방법,무선 애드혹 네트워크에서의 비율 기반 스케쥴링 방법,10-2012-0070268,10-1274729,군산대학교 산학협력단,Ⅱ. 혁신선도,1. 첨단 모빌리티,5
237,구미,무인항공기의 군집 내비게이션 방법,무인항공기의 군집 내비게이션 방법,10-2019-0162465,10-2258505,금오공과대학교 산학협력단,Ⅱ. 혁신선도,1. 첨단 모빌리티,4
238,대구,배달 라이더 안전 모니터링을 위한 GNSS 기반 3차원 추측항법 시스템,"차량 내부 센서, 카메라, 및 GNSS 단말기를 이용한 3차원 차량 항법 시스템",10-2017-0131623,10-2331312,대구경북과학기술원,Ⅱ. 혁신선도,1. 첨단 모빌리티,5
239,광주,배터리 수명 예측 시스템 및 방법,배터리 수명 예측 시스템 및 방법,10-2022-0046373,,한국자동차연구원,Ⅱ. 혁신선도,1. 첨단 모빌리티,4
240,천안아산,보행자 사고방지 장치,차량용 보행자 사고 방지 장치 및 방법,10-2018-0025691,10-2354862,한국자동차연구원,Ⅱ. 혁신선도,1. 첨단 모빌리티,5
241,청주,복수의 목적지들에 대한 최적 경로를 탐색하기 위한 방법 및 이를 위한 장치,복수의 목적지들에 대한 최적 경로를 탐색하기 위한 방법 및 이를 위한 장치,10-2020-0176314,10-2354580,충북대학교 산학협력단,Ⅱ. 혁신선도,1. 첨단 모빌리티,4
242,천안아산,브레이크 시스템,브레이크 패드 교체 경고 장치 및 방법,10-2018-0091653,10-2184951,한국자동차연구원,Ⅱ. 혁신선도,1. 첨단 모빌리티,3
243,천안아산,브레이크 시스템,브레이크 패드 상태 모니터링 장치 및 방법,10-2018-0091652,10-2179748,한국자동차연구원,Ⅱ. 혁신선도,1. 첨단 모빌리티,3
244,군산,상용차의 배터리 마운팅 어셈블리,상용차의 배터리 마운팅 어셈블리,10-2018-0017389,10-2033722,군산대학교 산학협력단,Ⅱ. 혁신선도,1. 첨단 모빌리티,4
245,진주,선택적으로 출입 통제가 가능한 볼라드,자동 볼라드,10-2016-0009866,10-1721186,서울과학기술대학교 산학협력단,Ⅱ. 혁신선도,1. 첨단 모빌리티,6
246,광주,수소전기차 안전기술,연료전지 차량용 냉각장치,10-2018-0066382,10-2042497,한국자동차연구원,Ⅱ. 혁신선도,1. 첨단 모빌리티,3
247,천안아산,스마트 네비게이션,차량 운전대 일체형 스마트 내비게이션,10-2014-0064827,10-2179579,한국자동차연구원,Ⅱ. 혁신선도,1. 첨단 모빌리티,4
248,천안아산,스마트자동차 편의기술,스마트키 권한 공유 시스템 및 그 방법,10-2019-0001810,10-2110768,한국자동차연구원,Ⅱ. 혁신선도,1. 첨단 모빌리티,2
