순번,기관명,행사명,주관기관명,행사지역,행사장소,기술 분류,해시태그,행사기간-시작일,행사기간-종료일
636,연구개발특구진흥재단,2023 바이오헬스 엑설런스,오송첨단의료산업진흥재단,대덕특구,충청북도 C&V센터,"BT,기타",#바이오헬스 #엑설런스,2023-10-12,2023-10-12
637,연구개발특구진흥재단, 대덕특구 50주년 우수성과전시회 및 기술사업화박람회,연구개발특구진흥재단,대덕특구,대전컨벤션센터 제1전시장,"IT,BT,CT,ET,NT,ST",#연구개발특구 #전문성 #과학기술 #기술사업화,2023-10-19,2023-10-22
638,강소특구육성2팀,2023 에너지 강소특구 공동 투자설명회,에너지강소특구협의체,과학벨트,서울 코엑스,"IT,BT,CT,ET,NT,ST",#연구개발특구 #기술사업화 #에너지 #IR #투자상담,2023-10-19,2023-10-19
639,연구개발특구진흥재단,제2회 INNO Entrepreneurship Up Program (기업가정신 함양 프로그램),연구개발특구진흥재단,대덕특구,D SQUARE (사이언스센터18층),기타,#기업가정신 #기업가정신강연 #창업캠핑 #창업도전,2023-10-19,2023-12-05
640,강소특구육성2팀,2023년 구미-포항 강소특구 공동기술이전설명회,"금오공대, 포스텍",과학벨트,금오공대,"IT,BT,CT,ET,NT,ST",#연구개발특구 #기술사업화 #기술이전 #구미특구 #포항특구 #기술상담 #SMK,2023-10-26,2023-10-26
641,강소특구육성2팀,2023 한국전기산업대전&한국발전산업전,한국전기산업진흥회,과학벨트,서울 코엑스,"IT,ET",#신재생에너지 #스마트그리드 #한국전력공사 #해외바이어 #구매상담 #기술상담 #동반성장,2023-10-18,2023-10-20
642,연구개발특구진흥재단,광주·호남권 이노폴리스 X 전문무역상사 수출상담회,연구개발특구진흥재단,광주특구,광주 홀리데이인 3층 컨벤션홀 1,기타,#호남권기업 #글로벌 #수출상담 #전문무역상사,2023-10-05,2023-10-05
643,연구개발특구진흥재단,2023년 광주·호남권 이노폴리스 X 전문무역상사 수출상담회,"연구개발특구진흥재단, 한국무역협회",광주특구,광주 홀리데이인 컨벤션 1,기타,#이노폴리스 #전문무역상사 #수출상담회,2023-10-05,2023-10-05
644,연구개발특구진흥재단,"2023 대한국토,도시계획학회 학술대회",대한국토도시계획학회,부산특구,부산 벡스코,기타,#연구개발특구 #50주년 #광역계획,2023-10-11,2023-10-12
645,연구개발특구진흥재단,2023년도 대덕연구개발특구 50주년 기념 포럼,연구개발특구진흥재단,대덕특구,특구재단 2층 컨퍼런스홀,기타,#50주년 #기념포럼,2023-10-12,2023-10-12
646,연구개발특구진흥재단,2023 신통방통 신성동 온 마을 축제,신성한마음축제추진위원회,대덕특구,대덕특구 종합운동장,기타,#신통방통,2023-10-14,2023-10-14
647,연구개발특구진흥재단,2023 기술지도 성과발표회 및 기술자문 상담회,한국생산기술연구원,대덕특구,롯데호텔 월드,기타,#기술지도 #성과발표회 #기술자문,2023-11-07,2023-11-07
648,연구개발특구진흥재단,2023년 1차 대구테크비즈센터 BIZ-UP 세미나 ,연구개발특구진흥재단 대구특구본부,대구특구,대구테크비즈센터 1층,기타,#전문성 #과학기술 #교육 #사업소개 #IBK창공 #창업기업,2023-10-10,2023-10-10
649,연구개발특구진흥재단,2023년 대구 스타트업 오픈이노베이션 밋업데이(Meet-up Day) 참여기업 모집공고,대구창조경제혁신센터,대구특구,대구메리어트호텔 3층 그랜드볼룸,기타,#전문성 #밋업데이 #PoC과제발굴 #오픈이노베이션,2023-10-31,2023-10-31
650,연구개발특구진흥재단,Fun하고 Talk한 2023 콘텐츠 IP 활성화 세미나,대구디지털혁신진흥원,대구특구,대구 엑스코 1층 서관 등,"IT,기타",#전문성 #지식재산권 #교육 #IP사업화 #DIP,2023-10-06,2023-10-13
651,전북연구개발특구본부 기술사업화팀,KDB&특구기업 Tech Connect Day,"연구개발특구진흥재단, 산업은행, (사)벤처기업협회, 주식회사 에스와이피",전북특구,산업은행 본점 1층 고객접견실(서울특별시 영등포구 은행로 14 한국산업은행),"IT,BT,기타",#연구개발특구 #산업은행 #중소기업 #협력 #상생 #대중견 기업,2023-10-24,2023-10-25
652,연구개발특구진흥재단,2023 제7회 장동계족산 코스모스축제,대전광역시 대덕구,대덕특구,장동만남공원 일원,기타,#장동계족산,2023-10-06,2023-10-08
653,연구개발특구진흥재단,2023년 한국항공우주연구원 항공우주분야 스핀-오프(Spin-off) 유망기술설명회,"한국항공우주연구원, (주)에스와이피, 연구개발특구진흥재단",대덕특구,코엑스,ST,#한국항공우주연구원 #항공 #우주,2023-10-11,2023-10-11
